Time,Location,Population,Susceptible,Infectious,Recovered
0,00,       17265.590033140445,   17236.075937481823,    17.253329266748572,        0.0
0,01,       619496.7958820316,   618437.8174365353,    619.0568743108461,        0.0
0,10,       398942.2976692202,   398260.3388648539,    398.6589978627166,        0.0
0,11,       137192.42229640076,   136957.90321726582,    137.0949982154813,        0.0
1,00,       17290.13771079149,   17230.334658777614,    22.275719245759745,        0.7188887251989668
1,01,       620377.5771134854,   618231.8178874496,    799.2623867604846,        25.794036635970876
1,10,       399509.5013909438,   398127.67969054123,    514.707380464857,        16.610791710499523
1,11,       137387.47820542176,   136912.28300208654,    177.00292175676464,        5.712291638010053
2,00,       17327.024682377232,   17222.935101422903,    28.74712162447288,        1.6470437011975294
2,01,       621701.097518134,   617966.3185872004,    1031.4590872949602,        59.09663635074519
2,10,       400361.8193928325,   397956.7039864293,    664.2369435525011,        38.056932734771024
2,11,       137680.58217541716,   136853.48610053465,    228.42470150979966,        13.08741343687622
3,00,       17376.329754725863,   17213.410292275115,    37.07413402832417,        2.84484044513294
3,01,       623470.1847188657,   617624.5643385986,    1330.2358735822638,        102.07409866518823
3,10,       401501.0726017732,   397736.62177441193,    856.6426160337842,        65.73347227087089
3,11,       138072.3604056441,   136777.8019428321,    294.59116323996625,        22.60510940925944
4,00,       17438.158439494546,   17201.16811592314,    47.77155478342563,        4.3895960420044915
4,01,       625688.6245193173,   617185.3097860399,    1714.0639309650155,        157.5005938411945
4,10,       402929.6989919596,   397453.7515132188,    1103.8194346066236,        101.42691489115944
4,11,       138563.65129199869,   136680.5255784169,    379.5928957552853,        34.879741309121755
5,00,       17512.643329577393,   17185.460674738566,    61.488514502767906,        6.380077507237744
5,01,       628361.1744095545,   616621.7200409647,    2206.2343450119542,        228.9199248694248
5,10,       404650.76228225284,   397090.8121254162,    1420.7663455993431,        147.4193917010419
5,11,       139155.50841795455,   136555.71421083238,    488.5878925568185,        50.696112092122945
6,00,       17599.94457312549,   17165.34742613693,    79.0397416462921,        8.942098965349246
6,01,       631493.5805741138,   615900.0480309392,    2835.9799232598407,        320.846356647001
6,10,       406667.96288898605,   396626.07123933424,    1826.3086334743634,        206.61798990793665
6,11,       139849.20432112738,   136395.89428631132,    628.0499880584832,        71.05394111151968
7,00,       17700.250447551964,   17139.651424295622,    101.4424208926601,        12.23542156029133
7,01,       635092.5984875517,   614978.0644336734,    3639.797689444429,        439.01218772815434
7,10,       408985.6511890447,   396032.33410114155,    2343.949577996835,        282.714183578138
7,11,       140646.23505432057,   136191.71379035516,    806.0617343028423,        97.22269082330646
8,00,       17813.778036403066,   17106.908239161035,    129.95883845623763,        16.462189131299642
8,01,       639166.0172008696,   613803.2248690298,    4662.979015814491,        590.6704260016047
8,10,       411608.84315978945,   395275.76328684983,    3002.855825757385,        380.3787501093226
8,11,       141548.32556394444,   135931.5363580351,    1032.6532607582653,        130.80859668794545
9,00,       17940.77401250256,   17065.307595030925,    166.14453094068656,        21.877140776962488
9,01,       643722.6874410721,   612310.5758662581,    5961.337224706305,        784.9612198815348
9,10,       414543.2384745531,   394314.5301913153,    3838.969927551108,        505.4977438501656
9,11,       142557.43591288375,   135600.97753401892,    1320.1848652319782,        173.83581623042426
10,00,       18081.515531325458,   17012.62856864251,    211.90086848452486,        28.79982962153927
10,01,       648772.5536658001,   610420.4297435269,    7603.094294421035,        1033.3502728980766
10,10,       417795.24114511866,   393097.31770184735,    4896.225335424764,        665.4548254444517
10,11,       143675.76837924754,   135182.3898564145,    1683.764839678361,        228.84351938848496
11,00,       18236.311239131293,   16946.170445353575,    269.5297888493069,        37.62903254569476
11,01,       654326.6902355866,   608035.8836979643,    9670.844741848374,        1350.1458710333177
11,10,       421371.9828158556,   391561.72254681453,    6227.811099849454,        869.4642160525586
11,11,       144905.77546699872,   134654.3134398089,    2141.6843874027754,        299.0003882696716
12,00,       18405.502400990874,   16862.683207949773,    341.7866182945461,        48.85944050425915
12,01,       660397.3418879416,   605040.3257141697,    12263.4508581757,        1753.097738500615
12,10,       425281.3488281394,   389632.64915563597,    7897.392359791685,        1128.9563472888894
12,11,       146250.16886925744,   133990.92363915467,    2715.837337867983,        388.23723845868204
13,00,       18589.464154477955,   16758.30428658722,    431.92443044756453,        63.10054971379411
13,01,       666997.9687203486,   601295.1651249509,    15497.634324215896,        2264.074861679086
13,10,       429532.00718841125,   387220.84818986047,    9980.135307943392,        1458.0143649126737
13,11,       147711.9294301385,   133161.5284646528,    3432.0726223867396,        501.39712844179377
14,00,       18788.606895472574,   16628.511751653405,    543.7201139687544,        81.09740112641744
14,01,       674143.2959134843,   596638.1531510439,    19508.911529447985,        2909.8096303539596
14,10,       434133.4405888364,   384221.8350077208,    12563.309515592064,        1873.8533394036936
14,11,       149294.318156348,   132130.1966521065,    4320.401407856234,        644.4001555185988
15,00,       19003.37780324082,   16468.10858204468,    681.4682786475423,        103.75240605635557
15,01,       681849.3684517365,   590882.8184401424,    24451.374920119488,        3722.680950583929
15,10,       439095.98164611316,   380515.52616369625,    15746.147125612519,        2397.324573407799
15,11,       151000.8883354711,   130855.63265861414,    5414.948674581128,        824.4168822860756
16,00,       19234.262512721336,   16271.25772544152,    849.9246234132322,        132.14691789382593
16,01,       690133.6111255629,   583819.7250446536,    30495.661019119474,        4741.4882470727
16,10,       444430.85154167115,   375967.04951849155,    19638.534302001342,        3053.4140422237033
16,11,       152835.49882396485,   129291.45525160566,    6753.5032183437415,        1050.039745531939
17,00,       19481.786942767507,   16031.592656023866,    1054.176166572026,        167.56044415268548
